Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 313.745809
I'm ready to play. You go first.

         1054912572 function calls (1054893732 primitive calls) in 314.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 _pep440.py:285(Version)
        1    0.000    0.000    0.003    0.003 blas.py:1(<module>)
      325    0.000    0.000    0.003    0.000 function_base.py:483(add_newdoc)
      554    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 uuid.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _matfuncs_sqrtm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 graph.py:1(<module>)
      413    0.001    0.000    0.002    0.000 decorators.py:744(__call__)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
     3324    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
    12174    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
     1393    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
        4    0.000    0.000    0.002    0.001 enum.py:890(_convert_)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       16    0.001    0.000    0.002    0.000 __init__.py:348(namedtuple)
    15510    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      665    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.002    0.002 linsolve.py:1(<module>)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
     1662    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 _compressed.py:1(<module>)
      642    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      635    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.002    0.002 sparse6.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ccallback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
        5    0.001    0.000    0.002    0.000 enum.py:1657(convert_class)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      554    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
  735/722    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFB0F1DA4B0}
        1    0.000    0.000    0.001    0.001 add_newdocs.py:1(<module>)
     4753    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     5827    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       74    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
      632    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 _logsumexp.py:1(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
    12996    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 vf2userfunc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arpack.py:1(<module>)
     4458    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       96    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.001    0.001 modularity_max.py:1(<module>)
        1    0.000    0.000    0.001    0.001 correlation.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        7    0.000    0.000    0.001    0.000 decorator.py:177(create)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _validation.py:1(<module>)
     1273    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 _flinalg_py.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:52(decorator)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:41(decorate)
        6    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
     2113    0.000    0.000    0.001    0.000 _parser.py:252(get)
        1    0.000    0.000    0.001    0.001 function.py:1(<module>)
     2497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1030(__exit__)
      635    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1219(wrap)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        2    0.000    0.000    0.001    0.001 covering.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:884(_process_class)
     1866    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      617    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:920(find_spec)
      632    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.001    0.001 beamsearch.py:1(<module>)
     4004    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      632    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      322    0.000    0.000    0.001    0.000 inspect.py:402(isgeneratorfunction)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
     2497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1026(__enter__)
       28    0.001    0.000    0.001    0.000 inspect.py:867(cleandoc)
      278    0.001    0.000    0.001    0.000 decorators.py:25(not_implemented_for)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
        1    0.000    0.000    0.001    0.001 classic.py:1(<module>)
     1215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.001    0.001 heaps.py:1(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      322    0.000    0.000    0.001    0.000 inspect.py:391(_has_code_flag)
       43    0.000    0.000    0.001    0.000 _compiler.py:509(_compile_info)
    23/22    0.000    0.000    0.001    0.000 typing.py:349(inner)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
