Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 279.913106
I'm ready to play. You go first.

         1048127414 function calls (1048108574 primitive calls) in 280.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 betweenness.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
     3961    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.003    0.003 _csr.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
        3    0.000    0.000    0.003    0.001 _add_newdocs.py:1(<module>)
     1393    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.003    0.003 gml.py:1(<module>)
      325    0.000    0.000    0.003    0.000 function_base.py:483(add_newdoc)
      406    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
        1    0.000    0.000    0.003    0.003 maxflow.py:1(<module>)
      284    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 _pep440.py:1(<module>)
   241/43    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
       58    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 graph.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _lil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
      554    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      413    0.001    0.000    0.002    0.000 decorators.py:744(__call__)
    12174    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
    15510    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _pep440.py:285(Version)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      665    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
     1393    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
     3324    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      618    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.002    0.002 blas.py:1(<module>)
       16    0.001    0.000    0.002    0.000 __init__.py:348(namedtuple)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        4    0.000    0.000    0.002    0.000 enum.py:890(_convert_)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 linsolve.py:1(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
      635    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
     1662    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 _ccallback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
      642    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     4753    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1219(wrap)
  735/722    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFB0EE9A4B0}
        2    0.000    0.000    0.001    0.001 covering.py:1(<module>)
      554    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        2    0.000    0.000    0.001    0.001 dataclasses.py:884(_process_class)
       74    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 arpack.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        5    0.000    0.000    0.001    0.000 enum.py:1657(convert_class)
     5827    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
    12996    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        7    0.000    0.000    0.001    0.000 decorator.py:177(create)
        1    0.000    0.000    0.001    0.001 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _compressed.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _matfuncs_sqrtm.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
